一级,二级,描述,图标,数量,起始,终止
国学经典,孟子上,"孟子（约公元前372年-约公元前289年），姬姓，孟氏，名轲，字子舆，战国时期邹城（今山东邹城市）人。伟大的思想家、教育家，儒家学派的代表人物，与孔子并称“孔孟”。
韩愈《原道》将孟子列为先秦儒家继承孔子“道统”的人物，元朝追封孟子为“亚圣公”，尊称为“亚圣”，其弟子及再传弟子将孟子的言行辑录成《孟子》一书，属语录体散文集，是孟子的言论汇编，由孟子及其弟子共同编写完成，倡导“以仁为本”。代表作有《鱼我所欲也》、《得道多助，失道寡助》和《生于忧患，死于安乐》，《寡人之于国也》编入高中语文教科书中。",catalog_313.png,73,673,745
国学经典,孟子下,"孟子（约公元前372年-约公元前289年），姬姓，孟氏，名轲，字子舆，战国时期邹城（今山东邹城市）人。伟大的思想家、教育家，儒家学派的代表人物，与孔子并称“孔孟”。
韩愈《原道》将孟子列为先秦儒家继承孔子“道统”的人物，元朝追封孟子为“亚圣公”，尊称为“亚圣”，其弟子及再传弟子将孟子的言行辑录成《孟子》一书，属语录体散文集，是孟子的言论汇编，由孟子及其弟子共同编写完成，倡导“以仁为本”。代表作有《鱼我所欲也》、《得道多助，失道寡助》和《生于忧患，死于安乐》，《寡人之于国也》编入高中语文教科书中。",catalog_301.png,188,2937,3124
国学经典,孟子译文,"孟子（约公元前372年-约公元前289年），姬姓，孟氏，名轲，字子舆，战国时期邹城（今山东邹城市）人。伟大的思想家、教育家，儒家学派的代表人物，与孔子并称“孔孟”。
韩愈《原道》将孟子列为先秦儒家继承孔子“道统”的人物，元朝追封孟子为“亚圣公”，尊称为“亚圣”，其弟子及再传弟子将孟子的言行辑录成《孟子》一书，属语录体散文集，是孟子的言论汇编，由孟子及其弟子共同编写完成，倡导“以仁为本”。代表作有《鱼我所欲也》、《得道多助，失道寡助》和《生于忧患，死于安乐》，《寡人之于国也》编入高中语文教科书中。",catalog_318.png,98,5564,5661
国学经典,孝经,《孝经》中国古代儒家的伦理著作。儒家十三经之一。传说是孔子作，但南宋时已有人怀疑是出于后人附会。清代纪昀在《四库全书总目》中指出，该书是孔子“七十子之徒之遗言”，成书于秦汉之际。自西汉至魏晋南北朝，注解者及百家。现在流行的版本是唐玄宗李隆基注，宋代邢昺疏。全书共分18章。,catalog_314.png,1,746,746
国学经典,孝经译文,《孝经》中国古代儒家的伦理著作。儒家十三经之一。传说是孔子作，但南宋时已有人怀疑是出于后人附会。清代纪昀在《四库全书总目》中指出，该书是孔子“七十子之徒之遗言”，成书于秦汉之际。自西汉至魏晋南北朝，注解者及百家。现在流行的版本是唐玄宗李隆基注，宋代邢昺疏。全书共分18章。,catalog_305.png,5,5099,5103
国学经典,弟子规,《弟子规》原名《训蒙文》，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》“学而篇”第六条：“弟子入则孝，出则悌，谨而信，泛爱众，而亲仁。行有余力，则以学文。”的文义，以三字一句、两句一韵编撰而成。分为七个部分：即孝、悌、谨、信、爱众、亲仁、学文，前六项属于德育修养，后一项属于智育修养，列述弟子在家、出外、待人、接物与学习上应该恪守的守则规范，特别讲求家庭教育与生活教育的践行。后经清朝贾存仁修订改编，并改名为《弟子规》。,catalog_315.png,5,747,751
国学经典,弟子规译文,《弟子规》原名《训蒙文》，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》“学而篇”第六条：“弟子入则孝，出则悌，谨而信，泛爱众，而亲仁。行有余力，则以学文。”的文义，以三字一句、两句一韵编撰而成。分为七个部分：即孝、悌、谨、信、爱众、亲仁、学文，前六项属于德育修养，后一项属于智育修养，列述弟子在家、出外、待人、接物与学习上应该恪守的守则规范，特别讲求家庭教育与生活教育的践行。后经清朝贾存仁修订改编，并改名为《弟子规》。,catalog_304.png,5,5104,5108
国学经典,三字经男声,"《三字经》，是中国的传统启蒙教材。在中国古代经典当中，《三字经》是最浅显易懂的读本之一。《三字经》取材典范，包括中国传统文化的文学、历史、哲学、天文地理、人伦义理、忠孝节义等等，而核心思想又包括了“仁，义，诚，敬，孝。”背诵《三字经》的同时，就了解了常识、传统国学及历史故事，以及故事内涵中的做人做事道理。
在格式上，三字一句朗朗上口，因其文通俗、顺口、易记等特点，使其与《百家姓》、《千字文》并称为中国传统蒙学三大读物，合称“三百千”。  《三字经》与《百家姓》、《千字文》并称为三大国学启蒙读物。《三字经》是中华民族珍贵的文化遗产，它短小精悍、琅琅上口，千百年来，家喻户晓。其内容涵盖了历史、天文、地理、道德以及一些民间传说，所谓“熟读《三字经》，可知千古事”。基于历史原因，《三字经》难免含有一些精神糟粕、艺术瑕疵，但其独特的思想价值和文化魅力仍然为世人所公认，被历代中国人奉为经典并不断流传。",catalog_316.png,1,752,752
国学经典,三字经女声,"《三字经》，是中国的传统启蒙教材。在中国古代经典当中，《三字经》是最浅显易懂的读本之一。《三字经》取材典范，包括中国传统文化的文学、历史、哲学、天文地理、人伦义理、忠孝节义等等，而核心思想又包括了“仁，义，诚，敬，孝。”背诵《三字经》的同时，就了解了常识、传统国学及历史故事，以及故事内涵中的做人做事道理。
在格式上，三字一句朗朗上口，因其文通俗、顺口、易记等特点，使其与《百家姓》、《千字文》并称为中国传统蒙学三大读物，合称“三百千”。  《三字经》与《百家姓》、《千字文》并称为三大国学启蒙读物。《三字经》是中华民族珍贵的文化遗产，它短小精悍、琅琅上口，千百年来，家喻户晓。其内容涵盖了历史、天文、地理、道德以及一些民间传说，所谓“熟读《三字经》，可知千古事”。基于历史原因，《三字经》难免含有一些精神糟粕、艺术瑕疵，但其独特的思想价值和文化魅力仍然为世人所公认，被历代中国人奉为经典并不断流传。",catalog_304.png,6,8682,8687
国学经典,三字经译文,"《三字经》，是中国的传统启蒙教材。在中国古代经典当中，《三字经》是最浅显易懂的读本之一。《三字经》取材典范，包括中国传统文化的文学、历史、哲学、天文地理、人伦义理、忠孝节义等等，而核心思想又包括了“仁，义，诚，敬，孝。”背诵《三字经》的同时，就了解了常识、传统国学及历史故事，以及故事内涵中的做人做事道理。
在格式上，三字一句朗朗上口，因其文通俗、顺口、易记等特点，使其与《百家姓》、《千字文》并称为中国传统蒙学三大读物，合称“三百千”。  《三字经》与《百家姓》、《千字文》并称为三大国学启蒙读物。《三字经》是中华民族珍贵的文化遗产，它短小精悍、琅琅上口，千百年来，家喻户晓。其内容涵盖了历史、天文、地理、道德以及一些民间传说，所谓“熟读《三字经》，可知千古事”。基于历史原因，《三字经》难免含有一些精神糟粕、艺术瑕疵，但其独特的思想价值和文化魅力仍然为世人所公认，被历代中国人奉为经典并不断流传。",catalog_318.png,13,5109,5122
国学经典,千字文,千字文，由南北朝时期梁朝散骑侍郎、给事中周兴嗣编纂、一千个汉字组成的韵文（在隋唐之前，不押韵、不对仗的文字，被称为“笔”，而非“文”）。梁武帝（502—549年）命人从王羲之书法作品中选取1000个不重复汉字，命员外散骑侍郎周兴嗣编纂成文。全文为四字句，对仗工整，条理清晰，文采斐然。《千字文》语句平白如话，易诵易记，并译有英文版、法文版、拉丁文版、意大利文版，是中国影响很大的儿童启蒙读物。,catalog_317.png,1,753,753
国学经典,千字文译文,千字文，由南北朝时期梁朝散骑侍郎、给事中周兴嗣编纂、一千个汉字组成的韵文（在隋唐之前，不押韵、不对仗的文字，被称为“笔”，而非“文”）。梁武帝（502—549年）命人从王羲之书法作品中选取1000个不重复汉字，命员外散骑侍郎周兴嗣编纂成文。全文为四字句，对仗工整，条理清晰，文采斐然。《千字文》语句平白如话，易诵易记，并译有英文版、法文版、拉丁文版、意大利文版，是中国影响很大的儿童启蒙读物。,catalog_306.png,12,5123,5134
国学经典,百家姓,"《百家姓》，是一篇关于中文姓氏的文章。按文献记载，成文于北宋初。
《百家姓》采用四言体例，对姓氏进行了排列，而且句句押韵，虽然它的内容没有文理，但对于中国姓氏文化的传承、中国文字的认识等方面都起了巨大作用，这也是能够流传千百年的一个重要因素。",catalog_318.png,1,754,754
国学经典,增广贤文,"《增广贤文》。又名《昔时贤文》、《古今贤文》，是中国明代时期编写的道家儿童启蒙书目。书名最早见之于明万历年间的戏曲《牡丹亭》，据此可推知此书最迟写成于万历年间。
《增广贤文》集结中国从古到今的各种格言、谚语。后来，经过明、清两代文人的不断增补，才改成现在这个模样，称《增广昔时贤文》，通称《增广贤文》。",catalog_319.png,1,755,755
国学经典,朱子治家格言,《朱子家训》又名《朱子治家格言》，清初朱柏庐所著。朱柏庐（1617～1688），著名理学家、教育家。名用纯，字致一。昆山（今属江苏）人。与归有光、顾炎武为“昆山三贤”。明诸生。清顺治二年（1645年）其父在守昆山城抵御清军时遇难。朱柏庐侍奉老母，抚育弟妹，播迁流离，备极艰辛。局势稍定，返回故里。因敬仰晋人王裒“攀柏庐墓”（含有不忘杀父之仇的意思）之义，故自号柏庐。居乡教授学生，潜心治学，以程、朱理学为本，提倡知行并进，躬行实践。平生精神宁谧，严以律己，对当时愿和他交往的官吏、豪绅，以礼自持。他与顾炎武坚辞不应康熙朝的博学鸿儒科，后又坚拒地方官举荐的乡饮大宾。除《朱子家训》外，尚著有《删补易经蒙引》、《四书讲义》、《困衡录》、《愧讷集》、《春秋五传酌解》、《毋欺录》等。,catalog_320.png,1,756,756
国学经典,蒙求,《蒙求》是唐朝李翰编著的以介绍掌故和各科知识为主要内容的儿童识字课本。全书都用四言韵文，每四个字是一个主谓结构的短句，上下两句成为对偶，各讲一个掌故，总计2484字。,catalog_306.png,10,8298,8307
国学经典,女史箴,"《女史箴》为晋文人张华以历代贤记事迹撰文。晋惠帝时，贾后专权善妒，当时大文学家张华作《女史箴》一文来讽刺她，并借此教育宫廷妇女。""女史""指宫廷妇女，""箴""则为规劝之意。《女史箴》以历代贤记事迹为鉴戒，被当时奉为""苦口陈箴、庄言警世""的名篇。",catalog_312.png,1,8361,8361
国学经典,易经上经（周易）,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_321.png,30,757,786
国学经典,易经下经1（周易）,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_322.png,53,787,801
国学经典,易经下经2（周易）,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_322.png,53,8308,8326
国学经典,易经系辞,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_310.png,10,8327,8338
国学经典,易经系辞,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_311.png,8,8339,8347
国学经典,说卦传,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_306.png,10,8348,8358
国学经典,序卦传,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_312.png,1,8359,8359
国学经典,杂卦传,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_321.png,1,8360,8360
国学经典,易经译文,"《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》》，相传为孔子所撰。
春秋时期，官学开始逐渐演变为民间私学。易学前后相因，递变发展，百家之学兴，易学乃随之发生分化。自孔子赞易以后，《周易》被儒门奉为儒门圣典，六经之首。儒门之外，有两支易学与儒门易并列发展：一为旧势力仍存在的筮术易；另一为老子的道家易，易学开始分为三支。
《四库全书总目》将易学历史的源流变迁，分为“两派六宗”。两派，就是象数学派和义理学派；六宗，一为占卜宗，二为禨祥宗，三为造化宗，四为老庄宗，五为儒理宗，六为史事宗。
《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。
《易经》为群经之首，设教之书。",catalog_315.png,98,5564,5661
国学经典,诗经（上）,《诗经》是中国古代诗歌开端，最早的一部诗歌总集，收集了西周初年至春秋中叶（前11世纪至前6世纪）的诗歌，，反映了周初至周晚期约五百年间的社会面貌。,catalog_323.png,83,802,884
国学经典,诗经（下）,《诗经》是中国古代诗歌开端，最早的一部诗歌总集，收集了西周初年至春秋中叶（前11世纪至前6世纪）的诗歌，，反映了周初至周晚期约五百年间的社会面貌。,catalog_710.png,222,8076,8297
国学经典,诗经译文,《诗经》是中国古代诗歌开端，最早的一部诗歌总集，收集了西周初年至春秋中叶（前11世纪至前6世纪）的诗歌，，反映了周初至周晚期约五百年间的社会面貌。,catalog_319.png,83,5135,5217
